193,128,79,61,31,15,139,83,42
178,173,179,16,14,15,84,54,57
221,222,222,42,31,30,156,126,110
19,16,15,143,140,139,52,54,59
107,88,83,170,147,137,32,32,49
169,143,132,32,17,19,44,42,54
87,91,86,174,175,169,44,43,53
102,79,69,40,33,32,171,160,160
18,18,28,157,154,165,66,34,49
191,165,113,104,83,61,30,29,35
38,38,42,190,169,151,137,64,54
111,68,45,203,150,119,5,3,2
41,27,25,203,189,178,144,95,67
3,4,2,108,110,107,133,57,54
121,135,153,72,50,39,154,165,179
151,125,111,207,199,190,43,43,62
20,19,21,6,6,8,168,136,111
175,133,109,7,6,7,46,40,54
61,72,54,246,223,202,133,138,127
129,82,52,63,37,24,223,211,202
75,66,58,225,226,234,137,137,130
28,22,21,123,97,55,199,161,135
51,49,84,21,21,39,182,154,146
150,135,130,0,0,0,22,28,43
31,30,33,72,63,63,203,184,169
130,82,55,68,44,24,171,157,123
58,27,12,200,157,117,108,84,73
58,60,71,199,53,32,216,207,207
29,29,33,47,48,56,183,155,139
24,30,43,108,75,71,196,200,207
0,0,0,0,0,0,88,73,56
126,104,86,201,164,134,35,29,29
47,30,22,1,0,1,162,146,130
25,22,17,189,174,161,76,72,69
108,106,110,19,12,15,76,35,32
56,46,48,150,133,131,190,186,194
46,47,58,203,218,213,189,191,174
95,86,85,187,172,166,29,31,33
203,176,152,174,139,114,90,61,54
166,130,155,76,55,85,15,13,25
127,187,211,193,172,173,85,55,60
179,174,162,126,127,118,60,66,60
218,198,147,58,46,36,199,163,78
35,36,37,142,110,90,7,6,4
148,139,129,75,42,40,44,33,50
92,85,89,206,191,158,32,30,35
33,27,32,220,210,207,150,126,103
195,182,165,12,9,8,108,56,37
102,91,86,149,140,138,44,36,26
48,36,31,171,169,170,121,108,94
14,15,18,180,152,140,68,49,43
141,121,99,2,2,2,34,29,26
235,224,215,204,138,92,42,35,31
124,94,106,38,30,45,216,214,214
59,50,56,207,202,228,153,121,117
110,105,107,176,169,168,50,38,32
220,201,186,28,41,68,111,111,135
149,184,229,45,54,115,25,23,41
39,37,81,147,87,70,206,194,197
27,20,21,220,204,178,165,71,73
